cell_name,neighbor_cell,ho_attempts
Cell_01,Cell_02,915
Cell_01,Cell_03,792
Cell_01,Cell_04,699
Cell_01,Cell_05,283
Cell_02,Cell_04,975
Cell_02,Cell_01,894
Cell_02,Cell_03,775
Cell_03,Cell_01,854
Cell_03,Cell_04,822
Cell_03,Cell_02,819
Cell_04,Cell_03,970
Cell_04,Cell_01,763
Cell_04,Cell_02,755
Cell_04,Cell_08,274
Cell_05,Cell_07,956
Cell_05,Cell_06,743
Cell_05,Cell_08,676
Cell_05,Cell_01,157
Cell_06,Cell_08,955
Cell_06,Cell_05,952
Cell_06,Cell_07,670
Cell_07,Cell_05,767
Cell_07,Cell_06,709
Cell_07,Cell_08,703
Cell_08,Cell_06,881
Cell_08,Cell_07,863
Cell_08,Cell_05,786
Cell_08,Cell_04,163
Cell_09,Cell_10,790
Cell_09,Cell_12,784
Cell_09,Cell_11,734
Cell_09,Cell_05,138
Cell_10,Cell_09,900
Cell_10,Cell_11,778
Cell_10,Cell_12,767
Cell_11,Cell_09,856
Cell_11,Cell_12,786
Cell_11,Cell_10,736
Cell_12,Cell_11,822
Cell_12,Cell_10,695
Cell_12,Cell_09,677
Cell_12,Cell_08,299
Cell_13,Cell_14,834
Cell_13,Cell_15,800
Cell_13,Cell_16,726
Cell_13,Cell_09,173
Cell_14,Cell_13,911
Cell_14,Cell_16,877
Cell_14,Cell_15,802
Cell_15,Cell_16,825
Cell_15,Cell_13,759
Cell_15,Cell_14,715
Cell_16,Cell_13,766
Cell_16,Cell_15,763
Cell_16,Cell_14,686
Cell_16,Cell_12,182
Cell_17,Cell_20,953
Cell_17,Cell_18,892
Cell_17,Cell_19,789
Cell_17,Cell_01,227
Cell_18,Cell_17,940
Cell_18,Cell_20,921
Cell_18,Cell_19,715
Cell_19,Cell_18,891
Cell_19,Cell_20,759
Cell_19,Cell_17,677
Cell_20,Cell_18,868
Cell_20,Cell_17,748
Cell_20,Cell_19,672
Cell_20,Cell_04,290
